##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Wickerhamiella_fastp_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4554908
1112	50-54	0.16238366842745933
1112	55-59	0.02588396098489909
1112	60-64	0.06211559705680969
1112	65-69	-0.06719607321042531
1112	70-74	-0.04165705940862807
1112	75-79	0.18590706784099353
1112	80-84	-0.02553592118518111
1112	85-89	-0.003579655232712753
1112	90-94	0.06298060747378997
1112	95-99	0.022373200518956082
1112	100-104	0.16951232658105653
1112	105-109	0.10004849373276414
1112	110-114	0.06075444522603135
1112	115-119	-0.07908352956959419
1112	120-124	0.09350492419723366
1112	125-129	0.16535528437606928
1112	130-134	0.2466270364471228
1112	135-139	0.2998993196529227
1112	140-144	0.18305245411519167
1112	145-149	0.1996295592096189
1112	150-151	0.4616407023099285
1113	1	0.20978946019504718
1113	2	0.23243995087862146
1113	3	0.5425652519455753
1113	4	0.172905433448868
1113	5	0.15792596815682458
1113	6	-0.32587581383057795
1113	7	0.29835298455735426
1113	8	0.02106912177124798
1113	9	0.31108843104940576
1113	10-14	0.27428437100275005
1113	15-19	0.22394714575735009
1113	20-24	0.10144496504975109
1113	25-29	0.0749722601450955
1113	30-34	0.1874243001732907
1113	35-39	0.1283336584444612
1113	40-44	0.2219459786120126
1113	45-49	0.15401776040003767
1113	50-54	0.14294415411629302
1113	55-59	0.18779900988286613
1113	60-64	0.3614557887338279
1113	65-69	0.2828982608203958
1113	70-74	0.15933662631505996
1113	75-79	0.1595729417746128
1113	80-84	0.1632559467059167
1113	85-89	0.23520863407262738
1113	90-94	0.09190993124952485
1113	95-99	0.23002738007419765
1113	100-104	0.15024242819883682
1113	105-109	0.0738560279936138
1113	110-114	0.14712678765191356
1113	115-119	0.39812846613575203
1113	120-124	0.19822201162138242
1113	125-129	0.392600839161112
1113	130-134	0.29001701145783443
1113	135-139	0.2763280654107376
1113	140-144	0.31605944602095803
1113	145-149	0.2906328741707327
1113	150-151	0.5725273699991149
1114	1	0.2689112760768282
1114	2	0.16647910906388574
1114	3	0.22577064553996706
1114	4	0.451476245938089
1114	5	-0.04478664181385028
1114	6	-0.20959440390590345
1114	7	0.12950846727830623
1114	8	-0.04510016119120053
1114	9	0.07775653524122816
1114	10-14	0.0924360011562868
1114	15-19	0.06722527812466694
1114	20-24	-0.061819079571037605
1114	25-29	0.04151529964828882
1114	30-34	0.010802749933048972
1114	35-39	0.13236315589823278
1114	40-44	0.03578178070731752
1114	45-49	-0.048652751652603854
1114	50-54	0.15636762564670192
1114	55-59	-0.032560061785495975
1114	60-64	0.1706544964875505
1114	65-69	0.07831768144066587
1114	70-74	-0.08705080533374598
1114	75-79	-0.07496083452659974
1114	80-84	0.055159919415011416
1114	85-89	-0.07414765090094022
1114	90-94	-0.03534767032284947
1114	95-99	-0.1048415160720495
1114	100-104	0.030112462524108707
1114	105-109	-0.004213888730653537
1114	110-114	-0.020000620067740726
1114	115-119	-0.010553581709345394
1114	120-124	0.10623556327897177
1114	125-129	0.2648873135247669
1114	130-134	0.34646457242012474
1114	135-139	0.26639478036499753
1114	140-144	0.16950063555686512
1114	145-149	0.1503910052588111
1114	150-151	0.1763580159297362
1115	1	0.45601478782987215
1115	2	0.07427435120492731
1115	3	0.20398503239920984
1115	4	0.2751168576628089
1115	5	0.1350136980332195
1115	6	0.2894002151821766
1115	7	0.3073263658905958
1115	8	-0.04528424502014872
1115	9	0.4576418368555011
1115	10-14	0.254606774308364
1115	15-19	0.2254552413078983
1115	20-24	0.18214155481016547
1115	25-29	0.26315506175533443
1115	30-34	0.18191461787204588
1115	35-39	0.19973569835764948
1115	40-44	0.21729418231506514
1115	45-49	0.30071978075319805
1115	50-54	0.1472850989726595
1115	55-59	0.25489094234065846
1115	60-64	0.07658992346853921
1115	65-69	0.35364399965123994
1115	70-74	0.05243860103504261
1115	75-79	0.2052036676378961
1115	80-84	0.15775289575356766
1115	85-89	0.13738906386593897
1115	90-94	0.24945345652777462
1115	95-99	0.06235097903386588
1115	100-104	0.2293614799253305
