##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Y7002_S238_L003_R1_001.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4632509
Total Bases	699.5 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.57609256668471	37.0	37.0	37.0	37.0	37.0
2	35.606305352024144	37.0	37.0	37.0	37.0	37.0
3	35.72582589693835	37.0	37.0	37.0	37.0	37.0
4	35.73234482652921	37.0	37.0	37.0	37.0	37.0
5	35.8614627624037	37.0	37.0	37.0	37.0	37.0
6	35.919228003658496	37.0	37.0	37.0	37.0	37.0
7	35.847453075644324	37.0	37.0	37.0	37.0	37.0
8	35.90867130533368	37.0	37.0	37.0	37.0	37.0
9	35.881919927192804	37.0	37.0	37.0	37.0	37.0
10-14	35.92936782205928	37.0	37.0	37.0	37.0	37.0
15-19	35.914174802466654	37.0	37.0	37.0	37.0	37.0
20-24	35.87879397535979	37.0	37.0	37.0	37.0	37.0
25-29	35.77187627698079	37.0	37.0	37.0	37.0	37.0
30-34	35.7293957550865	37.0	37.0	37.0	37.0	37.0
35-39	35.71394356708211	37.0	37.0	37.0	37.0	37.0
40-44	35.67552071674335	37.0	37.0	37.0	37.0	37.0
45-49	35.619017383452466	37.0	37.0	37.0	37.0	37.0
50-54	35.53042685939736	37.0	37.0	37.0	37.0	37.0
55-59	35.51604113451263	37.0	37.0	37.0	37.0	37.0
60-64	35.4647020437521	37.0	37.0	37.0	37.0	37.0
65-69	35.42551662608751	37.0	37.0	37.0	37.0	37.0
70-74	35.38571495489809	37.0	37.0	37.0	37.0	37.0
75-79	35.43697395946775	37.0	37.0	37.0	37.0	37.0
80-84	35.4049162559641	37.0	37.0	37.0	37.0	37.0
85-89	35.351638129575136	37.0	37.0	37.0	37.0	37.0
90-94	35.313318031330326	37.0	37.0	37.0	37.0	37.0
95-99	35.2795521821976	37.0	37.0	37.0	37.0	37.0
100-104	35.18790111362979	37.0	37.0	37.0	27.4	37.0
105-109	35.107751587746506	37.0	37.0	37.0	25.0	37.0
110-114	35.10620439161586	37.0	37.0	37.0	25.0	37.0
115-119	35.11519429320051	37.0	37.0	37.0	25.0	37.0
120-124	35.03981039216545	37.0	37.0	37.0	25.0	37.0
125-129	35.011406777623094	37.0	37.0	37.0	25.0	37.0
130-134	34.89034952765338	37.0	37.0	37.0	25.0	37.0
135-139	34.87950736846922	37.0	37.0	37.0	25.0	37.0
140-144	34.77017408924623	37.0	37.0	37.0	25.0	37.0
145-149	34.65996055269402	37.0	37.0	37.0	25.0	37.0
150-151	34.239143086392275	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	30-34	0.050147327026728306
1103	35-39	0.026571295924611604
1103	40-44	0.14505830286807964
1103	45-49	0.15342475099694752
1103	50-54	0.19914943865352797
1103	55-59	-0.4414342007171044
1103	60-64	-0.20288414592388904
1103	65-69	-0.06828175652282198
1103	70-74	-0.12065499517495226
1103	75-79	0.0254820901380981
1103	80-84	-0.03973257806433139
1103	85-89	0.09298685943763729
1103	90-94	0.02645626017991276
1103	95-99	-0.01607315483842342
1103	100-104	-0.15768685852319209
1103	105-109	0.031084407429332828
1103	110-114	-0.18464615244439386
1103	115-119	0.06396732163304364
1103	120-124	-0.206183724592492
1103	125-129	-0.14780171212001392
1103	130-134	-0.2427032793525541
1103	135-139	-0.29842284239871475
1103	140-144	-0.3309358840668608
1103	145-149	-0.42314848656796755
1103	150-151	-0.3445535668626718
1104	1	0.37414320042711324
1104	2	0.21480767420958813
1104	3	0.046986831633496706
1104	4	0.18100313530876377
1104	5	0.016979481962245302
1104	6	0.04462575561529292
1104	7	-0.1432207537871406
1104	8	-0.25912963848443127
1104	9	0.29751237477174897
1104	10-14	-0.08757193506103533
1104	15-19	-0.07176296582592556
1104	20-24	0.037910569159762986
1104	25-29	0.05213773418985568
1104	30-34	-0.11309122866953203
1104	35-39	-0.0669400812289922
1104	40-44	0.06738822113675269
1104	45-49	-0.02080340601928299
1104	50-54	-0.3234061041115268
1104	55-59	0.026896254752756477
1104	60-64	0.0344359876089797
1104	65-69	-0.20646064451638324
1104	70-74	-0.27548865466614814
1104	75-79	-0.2505349468136657
1104	80-84	-0.34653124273567926
1104	85-89	-0.30463871133861886
1104	90-94	-0.3384384100169342
1104	95-99	-0.5081816694771604
1104	100-104	-0.1498698138971264
1104	105-109	-0.13186252476820215
1104	110-114	-0.29938465058338437
1104	115-119	-0.17576254291551408
1104	120-124	-0.0450310443423092
1104	125-129	-0.06344577796554063
1104	130-134	-0.22624190028037106
1104	135-139	-0.33384588832941375
1104	140-144	0.007451744957343465
1104	145-149	-0.15964823715312093
1104	150-151	0.22174473327930144
1105	1	0.2904405797995153
1105	2	0.10774810085825948
1105	3	0.5452060045799243
1105	4	0.06376098032057342
1105	5	0.08378111657402343
1105	6	-0.07035193718266441
1105	7	-0.25892577384487936
1105	8	0.03149383843980047
1105	9	0.05891904068859333
1105	10-14	0.03597772189543491
1105	15-19	0.11744409749653784
1105	20-24	0.1434689990326632
1105	25-29	-0.05787913680328671
1105	30-34	0.2387132177744462
1105	35-39	0.18085356777936568
1105	40-44	0.04284205085220094
1105	45-49	0.07211752525954296
1105	50-54	0.03249536928854724
1105	55-59	-0.06855157638734255
1105	60-64	-0.12487117693944327
1105	65-69	-0.020758248835363702
1105	70-74	-0.15740070055525024
1105	75-79	0.03700076345514702
1105	80-84	-0.18044418841108012
1105	85-89	-0.04646152841956308
1105	90-94	0.18392352902254316
1105	95-99	0.20898250403163132
1105	100-104	-0.07248669238848038
1105	105-109	0.004383116891908401
1105	110-114	0.20502805139989988
1105	115-119	0.06539518212478868
1105	120-124	-0.11030304224281906
1105	125-129	7.913486766852884E-5
1105	130-134	0.3073088814089786
1105	135-139	0.28740706409438843
1105	140-144	0.01833316062113255
1105	145-149	0.07432469427565991
1105	150-151	0.02495772019491227
1106	1	0.24951084748593644
1106	2	0.1688364732291987
1106	3	0.42696538555506436
1106	4	-0.08021009998535078
1106	5	0.19724908980538203
1106	6	0.0331674222819629
1106	7	0.05734603542854444
1106	8	0.058777837005763445
1106	9	-0.1288050271890384
1106	10-14	-0.007939582119860233
1106	15-19	-0.1655864952376831
1106	20-24	-0.1679166367225875
1106	25-29	-0.036906383457207426
1106	30-34	-0.22084551788520912
1106	35-39	-0.1732513557387989
1106	40-44	-0.19788751415735817
1106	45-49	-0.08474642072516758
1106	50-54	-0.16627375117035115
1106	55-59	-0.2180914903452802
1106	60-64	-0.25802724768514196
1106	65-69	-0.28533012981049666
1106	70-74	-0.4968949046661493
1106	75-79	-0.31442281446072684
1106	80-84	-0.2771010956768549
1106	85-89	-0.4671907946719571
1106	90-94	-0.18273068942869486
1106	95-99	-0.2157306890850066
1106	100-104	-0.1795358678186929
1106	105-109	-0.3792614218270245
1106	110-114	-0.07113710156377095
1106	115-119	0.02307324139820821
1106	120-124	-0.08936315218544877
1106	125-129	-0.17245313090671033
1106	130-134	-0.022381606162724665
1106	135-139	0.07514308225881905
1106	140-144	-0.2828454364152009
1106	145-149	-0.0285881881335186
1106	150-151	0.743703985730285
1107	1	0.1863560855811741
1107	2	-0.11572453867556476
1107	3	0.1862585403169703
1107	4	-0.2895850999853522
1107	5	0.2783800421863347
1107	6	-0.016326625337086398
1107	7	0.23425823780949884
1107	8	-0.19672067489899803
1107	9	-0.15021871766522565
1107	10-14	0.12307232264205226
1107	15-19	-0.0395388761900648
1107	20-24	-0.15366366053211067
1107	25-29	-0.13820400250482123
1107	30-34	-0.04142736312330442
1107	35-39	-0.041102546214986546
1107	40-44	-0.029104776062126803
1107	45-49	0.04978482927483441
1107	50-54	0.016000058353455415
1107	55-59	-0.15320458558338146
1107	60-64	-0.22510462863752423
1107	65-69	-0.08314411790573217
1107	70-74	-0.10329817847566858
1107	75-79	-0.23059096922263222
1107	80-84	-0.008223119486380881
1107	85-89	-0.08787680657670904
1107	90-94	-0.13097622514298024
