##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Wickerhamiella_fastp_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4554908
Total Bases	654 Mbp
Sequences flagged as poor quality	0
Sequence length	15-151
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.173808120822635	37.0	37.0	37.0	25.0	37.0
2	34.16504131367746	37.0	37.0	37.0	25.0	37.0
3	35.38180705296353	37.0	37.0	37.0	37.0	37.0
4	34.98997301372498	37.0	37.0	37.0	25.0	37.0
5	34.98785749349932	37.0	37.0	37.0	25.0	37.0
6	35.18041901175611	37.0	37.0	37.0	25.0	37.0
7	35.11300689278466	37.0	37.0	37.0	25.0	37.0
8	35.14546638483148	37.0	37.0	37.0	25.0	37.0
9	35.245118452447336	37.0	37.0	37.0	25.0	37.0
10-14	35.27536898659643	37.0	37.0	37.0	34.6	37.0
15-19	35.26286602422078	37.0	37.0	37.0	32.2	37.0
20-24	35.22790941641553	37.0	37.0	37.0	27.4	37.0
25-29	35.18967385653617	37.0	37.0	37.0	25.0	37.0
30-34	35.135949901077915	37.0	37.0	37.0	25.0	37.0
35-39	35.15041683761898	37.0	37.0	37.0	25.0	37.0
40-44	35.053371335359785	37.0	37.0	37.0	25.0	37.0
45-49	35.028858676643196	37.0	37.0	37.0	25.0	37.0
50-54	34.98255270972082	37.0	37.0	37.0	25.0	37.0
55-59	34.90032643587518	37.0	37.0	37.0	25.0	37.0
60-64	34.903414961013254	37.0	37.0	37.0	25.0	37.0
65-69	34.83297936684034	37.0	37.0	37.0	25.0	37.0
70-74	34.86365517369181	37.0	37.0	37.0	25.0	37.0
75-79	34.76442761342196	37.0	37.0	37.0	25.0	37.0
80-84	34.79073152185597	37.0	37.0	37.0	25.0	37.0
85-89	34.79393248976937	37.0	37.0	37.0	25.0	37.0
90-94	34.720750862795974	37.0	37.0	37.0	25.0	37.0
95-99	34.674706654912065	37.0	37.0	37.0	25.0	37.0
100-104	34.690567543978815	37.0	37.0	37.0	25.0	37.0
105-109	34.60792413379375	37.0	37.0	37.0	25.0	37.0
110-114	34.52756199575667	37.0	37.0	37.0	25.0	37.0
115-119	34.536936975051525	37.0	37.0	37.0	25.0	37.0
120-124	34.421477485487806	37.0	37.0	37.0	25.0	37.0
125-129	34.278443680743194	37.0	37.0	37.0	25.0	37.0
130-134	34.3085526195875	37.0	37.0	37.0	25.0	37.0
135-139	34.23576470601004	37.0	37.0	37.0	25.0	37.0
140-144	34.16086245966875	37.0	37.0	37.0	25.0	37.0
145-149	34.038364636395485	37.0	37.0	37.0	25.0	37.0
150-151	33.60366983908793	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1111	2	-0.05693266166569089
1111	3	0.02261264995921408
1111	4	-0.030392256542413065
1111	5	0.23009368647858253
1111	6	-0.03321753462476096
1111	7	-0.11568406765655936
1111	8	0.5016517656650521
1111	9	-0.11381315109674972
1111	10-14	0.19300375092498712
1111	15-19	-0.10618702501268018
1111	20-24	0.2568376997496671
1111	25-29	0.2793175591178141
1111	30-34	0.14382046950463945
1111	35-39	-0.09412489330715346
1111	40-44	0.23391525533974544
1111	45-49	0.2045844448568772
1111	50-54	0.1815030142434324
1111	55-59	0.18991370177465683
1111	60-64	0.19733574842982904
1111	65-69	0.22416057686394453
1111	70-74	0.17818800012355496
1111	75-79	0.3179164476039915
1111	80-84	0.2516344377803037
1111	85-89	0.26121580218533325
1111	90-94	0.311914243657327
1111	95-99	0.4277055628099262
1111	100-104	0.42348795270332573
1111	105-109	0.19352109845805643
1111	110-114	0.2960630382435525
1111	115-119	0.5517708410147435
1111	120-124	0.784812819241985
1111	125-129	0.4544586228189118
1111	130-134	0.4625771757730064
1111	135-139	0.6159805786331276
1111	140-144	0.63779278917076
1111	145-149	0.43335974442496195
1111	150-151	0.854069750935075
1112	1	0.3570995876345293
1112	2	0.20381494489568297
1112	3	0.36533799547884627
1112	4	-0.07157841208274363
1112	5	0.27487403535207733
1112	6	0.13278971832824737
1112	7	0.35332587914794544
1112	8	0.27630803954114924
1112	9	0.2564102843351108
1112	10-14	0.07271951551607714
1112	15-19	0.28735920987252683
1112	20-24	0.30284193960647343
1112	25-29	0.22633011009832416
1112	30-34	0.02579462144360889
1112	35-39	0.2310226228613388
1112	40-44	0.14292724329006745
1112	45-49	0.09999486080341313
1112	50-54	0.06733967031347987
1112	55-59	0.28927793779163835
1112	60-64	0.11595384417702803
1112	65-69	0.27351600729939207
1112	70-74	0.22352073838925435
1112	75-79	0.21170626908506307
1112	80-84	0.3204059009810223
1112	85-89	0.2588106118296736
1112	90-94	0.255706031688419
1112	95-99	0.37689581911853764
1112	100-104	0.3371537415780068
1112	105-109	0.3900720419683168
1112	110-114	0.7046847657707502
1112	115-119	0.37396382507229475
1112	120-124	0.3953272911353096
1112	125-129	0.47681528154002706
1112	130-134	0.45730728242589436
1112	135-139	0.6025179642627805
1112	140-144	0.34760631814698684
1112	145-149	0.5380391760066274
1112	150-151	0.6821176145571073
1113	1	0.4726805233443798
1113	2	0.2201071865316564
1113	3	0.4021192913254339
1113	4	0.132795599245064
1113	5	0.4388223392300077
1113	6	0.10340485626707618
1113	7	0.4346005623244693
1113	8	0.36882444118687374
1113	9	0.16322669710059046
1113	10-14	0.3774439786289676
1113	15-19	0.25889836398163624
1113	20-24	0.11642024244417115
1113	25-29	0.2049342574100379
1113	30-34	0.1954838774165566
1113	35-39	0.2015762702579238
1113	40-44	0.31967177175851447
1113	45-49	0.3096068487081354
1113	50-54	0.2546400358910148
1113	55-59	0.177774507635462
1113	60-64	0.4750445891254529
1113	65-69	0.33068634842319966
